index,Order ID,Date,Status,Fulfilment,Sales Channel ,ship-service-level,Style,SKU,Category,Size,ASIN,Courier Status,Qty,currency,Amount,ship-city,ship-state,ship-postal-code,ship-country,promotion-ids,B2B,fulfilled-by,Unnamed: 22,issue
8,407-5443024-5233168,04-30-22,Cancelled,Amazon,Amazon.in,Expedited,SET200,SET200-KR-NP-A-XXXL,Set,3XL,B08L91ZZXN,Cancelled,0,,,HYDERABAD,TELANGANA,500008.0,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,False,,,null_currency; null_amount; 
29,404-5933402-8801952,04-30-22,Cancelled,Merchant,Amazon.in,Standard,JNE2132,JNE2132-KR-398-XXXL,kurta,3XL,B07JG3CND8,,0,,,GUWAHATI,ASSAM,781003.0,IN,,False,Easy Ship,,null_currency; null_amount; 
65,171-4137548-0481151,04-30-22,Cancelled,Amazon,Amazon.in,Expedited,JNE3373,JNE3373-KR-XXL,kurta,XXL,B082W8RWN1,Cancelled,0,,,Dahod,Gujarat,389151.0,IN,,False,,,null_currency; null_amount; 
84,403-9950518-0349133,04-30-22,Cancelled,Amazon,Amazon.in,Expedited,JNE3510,JNE3510-KR-M,kurta,M,B08WPR5MCB,Cancelled,0,,,HYDERABAD,TELANGANA,500072.0,IN,,False,,,null_currency; null_amount; 
95,405-9112089-3379536,04-30-22,Cancelled,Amazon,Amazon.in,Expedited,JNE3405,JNE3405-KR-L,kurta,L,B081WSCKPQ,Cancelled,0,,,PUNE,MAHARASHTRA,411046.0,IN,,False,,,null_currency; null_amount; 
101,402-7841951-1872363,04-30-22,Cancelled,Amazon,Amazon.in,Expedited,SET347,SET347-KR-NP-S,Set,S,B09RKDJ9SQ,Cancelled,0,,,NEW DELHI,DELHI,110036.0,IN,,False,,,null_currency; null_amount; 
132,171-0293372-4913973,04-30-22,Cancelled,Amazon,Amazon.in,Expedited,SET269,SET269-KR-NP-XXXL,Set,3XL,B0983FSRFS,Cancelled,0,,,KOLAR,KARNATAKA,563101.0,IN,,False,,,null_currency; null_amount; 
139,403-6442534-2769112,04-30-22,Cancelled,Amazon,Amazon.in,Expedited,J0300,J0300-TP-XXXL,Top,3XL,B099S7RDLZ,Cancelled,0,,,AZAMGARH,UTTAR PRADESH,276302.0,IN,,False,,,null_currency; null_amount; 
155,402-8078642-8565124,04-30-22,Cancelled,Amazon,Amazon.in,Expedited,JNE3887,JNE3887-KR-XL,kurta,XL,B09TZVXQ1J,Cancelled,0,,,Puri-2,ODISHA,752002.0,IN,,False,,,null_currency; null_amount; 
165,406-0218328-1773963,04-30-22,Cancelled,Amazon,Amazon.in,Expedited,PJNE2100,PJNE2100-KR-N-6XL,kurta,6XL,B09LD3PMBT,Cancelled,0,,,WALAJAPET,TAMIL NADU,632513.0,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,False,,,null_currency; null_amount; 
205,403-4337144-0984323,04-30-22,Cancelled,Amazon,Amazon.in,Expedited,J0340,J0340-TP-M,Top,M,B0986XSXR1,Cancelled,0,,,JAMMU,JAMMU & KASHMIR,180007.0,IN,,False,,,null_currency; null_amount; 
215,403-5456917-5571511,04-30-22,Cancelled,Amazon,Amazon.in,Expedited,JNE3861,JNE3861-DR-XL,Western Dress,XL,B09SDZ14KR,Cancelled,0,,,GHAZIABAD,UTTAR PRADESH,201014.0,IN,,False,,,null_currency; null_amount; 
242,404-0634392-1837110,04-30-22,Cancelled,Amazon,Amazon.in,Expedited,J0198,J0198-TP-S,Top,S,B0986XYHCY,Cancelled,0,,,KARANJA,MAHARASHTRA,444105.0,IN,,False,,,null_currency; null_amount; 
249,404-8514200-3544346,04-30-22,Cancelled,Amazon,Amazon.in,Expedited,JNE3440,JNE3440-KR-N-M,kurta,M,B081WY1SP3,Cancelled,0,,,BENGALURU,KARNATAKA,560036.0,IN,,False,,,null_currency; null_amount; 
250,404-7452877-2137949,04-30-22,Cancelled,Merchant,Amazon.in,Standard,JNE3802,JNE3802-KR-M,kurta,M,B09K3W2LHF,,0,,,BENGALURU,KARNATAKA,560036.0,IN,,False,Easy Ship,,null_currency; null_amount; 
271,404-1607808-0769930,04-30-22,Cancelled,Amazon,Amazon.in,Expedited,SET265,SET265-KR-NP-XL,Set,XL,B0983DQLBQ,Cancelled,0,,,PATNA,BIHAR,800001.0,IN,,False,,,null_currency; null_amount; 
328,402-1365379-0131533,04-30-22,Cancelled,Amazon,Amazon.in,Expedited,J0012,J0012-SKD-M,Set,M,B0894XYMWS,Cancelled,0,,,KAMAREDDY,TELANGANA,503111.0,IN,,False,,,null_currency; null_amount; 
363,171-9620288-8918704,04-30-22,Cancelled,Amazon,Amazon.in,Expedited,SET226,SET226-KR-PP-L,Set,L,B08MYTQ4F9,Cancelled,0,,,BAGESHWAR,UTTARAKHAND,263642.0,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,False,,,null_currency; null_amount; 
381,404-4026534-0431517,04-30-22,Cancelled,Amazon,Amazon.in,Expedited,SET217,SET217-KR-PP-XXXL,Set,3XL,B089B2WLM2,Cancelled,0,,,SOLAPUR,MAHARASHTRA,413001.0,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,False,,,null_currency; null_amount; 
413,171-5542306-9306709,04-30-22,Cancelled,Amazon,Amazon.in,Expedited,J0308,J0308-DR-XL,Western Dress,XL,B099NS3FWG,Cancelled,0,,,"Chinchwad ,Pune",MAHARASHTRA,411019.0,IN,,False,,,null_currency; null_amount; 
428,171-4549643-0067500,04-30-22,Cancelled,Amazon,Amazon.in,Expedited,JNE2270,JNE2270-KR-487-A-XL,kurta,XL,B07H7F6SKC,Cancelled,0,,,AKOLA,MAHARASHTRA,444101.0,IN,,False,,,null_currency; null_amount; 
448,407-3630361-4581152,04-30-22,Cancelled,Amazon,Amazon.in,Expedited,JNE3619,JNE3619-KR-XS,kurta,XS,B091Q8BKLW,Cancelled,0,,,VELLORE,TAMIL NADU,632004.0,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,False,,,null_currency; null_amount; 
456,407-5524319-6977912,04-30-22,Cancelled,Amazon,Amazon.in,Expedited,JNE3727,JNE3727-KR-XXL,kurta,XXL,B09K3XLB6S,Cancelled,0,,,THRIPPUNITHURA,KERALA,682301.0,IN,,False,,,null_currency; null_amount; 
470,407-6861831-9368312,04-30-22,Cancelled,Amazon,Amazon.in,Expedited,SET374,SET374-KR-NP-XS,Set,XS,B09NDKGZ6V,Cancelled,0,,,PALASBARI,ASSAM,781120.0,IN,,False,,,null_currency; null_amount; 
489,408-8960391-6097167,04-30-22,Cancelled,Amazon,Amazon.in,Expedited,JNE3781,JNE3781-KR-XXXL,kurta,3XL,B09K3WFS32,Cancelled,0,,,MIRA ROAD,MAHARASHTRA,401107.0,IN,,False,,,null_currency; null_amount; 
500,405-4491602-9761902,04-30-22,Cancelled,Amazon,Amazon.in,Expedited,J0308,J0308-DR-XXL,Western Dress,XXL,B099NTSTM2,Cancelled,0,,,Bhatgaon,CHHATTISGARH,497235.0,IN,,False,,,null_currency; null_amount; 
